id,ln_wage,age,age2,exper,exper2,educ,female,high,bachelor,secondary,vocational,other,private,no_jobs,age_drop,no_empl,f_work,m_work
112,5.7990928,44,1936,27,729,13,0,0,0,1,0,0,1,2,17,37,,1
113,5.0106354,17,289,0,0,13,0,0,0,1,0,0,1,2,16,17,1,1
114,7.3004727,19,361,1,1,13,0,0,0,1,0,0,1,3,17,17,0,0
115,5.3278761,27,729,6,36,16,1,0,1,0,0,0,1,2,16,17,1,1
116,6.9246125,41,1681,25,625,13,1,0,0,1,0,0,0,2,18,350,0,1
117,4.7874918,47,2209,31,961,13,1,0,0,1,0,0,1,2,15,37,1,1
118,9.4572001,67,4489,50,2500,13,0,0,0,1,0,0,1,8,16,17,1,1
119,7.3132205,48,2304,32,1024,13,0,0,0,1,0,0,0,4,16,75,,1
120,6.8023949,25,625,9,81,13,0,0,0,1,0,0,1,2,16,750,1,
121,8.1605186,40,1600,24,576,13,0,0,0,1,0,0,1,3,16,750,,1
122,9.864851,32,1024,15,225,13,0,0,0,1,0,0,1,4,17,150,1,1
123,5.857933,21,441,1,1,13,0,0,0,1,0,0,1,2,18,100 - 199,1,1
124,5.8861041,42,1764,26,676,13,0,0,0,1,0,0,1,4,16,350,1,0
125,9.9522781,47,2209,21,441,16,0,0,1,0,0,0,1,4,19,150,1,1
126,5.6204009,32,1024,11,121,19,1,1,0,0,0,0,1,2,16,100 - 199,1,1
127,9.9987974,32,1024,14,196,16,0,0,1,0,0,0,1,2,16,350,1,1
128,11.512925,32,1024,11,121,19,0,1,0,0,0,0,1,2,18,350,1,1
129,7.495542,49,2401,26,676,19,0,1,0,0,0,0,0,2,18,17,1,1
130,10.491274,34,1156,15,225,13,0,0,0,1,0,0,0,2,16,37,1,1
131,9.8726673,32,1024,15,225,13,1,0,0,1,0,0,0,8,16,350,,1
132,6.3969297,20,400,4,16,16,1,0,1,0,0,0,1,2,16,75,0,0
133,6.0637851,28,784,7,49,16,1,0,1,0,0,0,1,4,18,150,,0
134,10.081634,31,961,8,64,16,0,0,1,0,0,0,1,4,18,350,1,1
135,10.1849,29,841,8,64,19,0,1,0,0,0,0,1,2,17,17,0,1
136,9.392662,26,676,10,100,13,1,0,0,1,0,0,0,2,16,350,1,1
137,9.9522781,27,729,9,81,16,1,0,1,0,0,0,0,4,17,1000,1,1
138,6.0402546,26,676,8,64,13,0,0,0,1,0,0,1,5,16,17,0,0
139,6.652863,18,324,1,1,16,1,0,1,0,0,0,1,2,16,1000,1,1
140,10.668956,49,2401,26,676,13,0,0,0,1,0,0,1,4,16,75,1,0
141,8.4118328,38,1444,16,256,16,0,0,1,0,0,0,0,2,18,150,1,1
142,8.2295113,31,961,7,49,19,1,1,0,0,0,0,1,2,17,1 - 2,1,1
143,7.377759,57,3249,36,1296,10,1,0,0,0,0,1,0,2,18,17,1,1
144,10.021271,25,625,3,9,16,1,0,1,0,0,0,1,4,18,150,1,1
145,6.0426331,41,1681,25,625,10,0,0,0,0,0,1,1,2,16,75,1,1
146,5.8141303,32,1024,17,289,10,0,0,0,0,0,1,1,2,16,75,1,1
147,5.480639,17,289,2,4,13,1,0,0,1,0,0,1,5,15,100 - 199,1,1
148,9.7409687,52,2704,35,1225,13,1,0,0,1,0,0,1,7,17,150,1,0
149,5.7990928,21,441,2,4,13,0,0,0,1,0,0,1,3,19,1000,1,1
150,9.7111158,25,625,6,36,13,1,0,0,1,0,0,1,4,18,37,0,1
151,6.5510802,31,961,5,25,19,0,1,0,0,0,0,0,4,17,1000,1,
152,7.0732698,18,324,3,9,13,0,0,0,1,0,0,1,5,16,75,1,1
153,6.1092477,25,625,9,81,10,0,0,0,0,0,1,1,2,16,100 - 199,1,1
154,5.0751739,32,1024,15,225,19,0,1,0,0,0,0,1,5,16,37,1,1
155,6.4409466,16,256,1,1,13,1,0,0,1,0,0,1,2,inapplicable,75,,
156,2.1972246,25,625,9,81,13,0,0,0,1,0,0,1,3,16,750,1,0
157,11.0021,53,2809,32,1024,19,0,1,0,0,0,0,0,3,18,1000,1,0
158,7.6143122,28,784,5,25,16,1,0,1,0,0,0,0,4,16,150,1,1
